S1,DateTime,N1,AC,PS,TI,U,LN,R2,Note1
CD,2018-06-07 11:28:00,Y,2306,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1075,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2222,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,N,1004,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2993,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2430,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,N,2943,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,N,2942,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2214,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1015,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,N,1919,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2982,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,N,1017,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2989,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2216,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,N,2941,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2210,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1020,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2380,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2228,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1905,C_002,4-12-EP,U,Bob,,Y
CD,2018-06-07 11:28:00,N,1064,C_002,4-12-EP,U/C,Bob,,Y
CD,2018-06-07 11:28:00,Y,1022,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1024,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2035,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2039,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,N,2944,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2408,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2212,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2964,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2992,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,N,1025,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2905,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,N,1915,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2246,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1028,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2994,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2051,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1030,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,N,1031,C_002,4-12-EP,M/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1032,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2967,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1035,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2247,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2251,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2626,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2248,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,2422,C_002,4-12-EP,U/L,Bob,,Y
CD,2018-06-07 11:28:00,Y,1036,C_002,4-12-EP,U/L,Bob,,Y
