S1,DateTime,N1,AC,PS,TI,U,LN,R2
W,2018-04-18 11:57:00,N,2920,C_003,4-23-SR,M/L,Eaton,
W,2018-04-18 12:27:00,N,2950,C_002,1-502-MD,U/L,Eaton,
W,2018-04-18 12:27:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-04-18 12:27:00,N,2942,C_002,1-502-MD,U/L,Eaton,
W,2018-04-18 12:27:00,N,2944,C_002,1-502-MD,U/L,Eaton,
W,2018-04-18 12:27:00,N,2943,C_002,1-502-MD,U/L,Eaton,
W,2018-04-18 12:37:00,N,2943,C_002,4-12-EP,U/L,Eaton,
W,2018-04-18 12:37:00,N,2942,C_002,4-12-EP,U/L,Eaton,
W,2018-04-18 12:37:00,N,2950,C_002,4-12-EP,U/L,Eaton,
W,2018-04-18 12:37:00,N,2944,C_002,4-12-EP,U/L,Eaton,
W,2018-04-18 12:37:00,N,2941,C_002,4-12-EP,U/L,Eaton,
W,2018-04-18 14:22:00,N,1930,C_002,1-502-MD,M/L,Eaton,
W,2018-04-25 12:01:00,N,2942,C_002,4-12-EP,U/L,Eaton,
W,2018-04-25 12:01:00,N,2941,C_002,4-12-EP,U/L,Eaton,
W,2018-04-25 12:01:00,N,2950,C_002,1-502-MD,U/L,Eaton,
W,2018-04-25 12:01:00,N,2942,C_002,1-502-MD,U/L,Eaton,
W,2018-04-25 12:01:00,N,2944,C_002,4-12-EP,U/L,Eaton,
W,2018-04-25 12:01:00,N,2944,C_002,1-502-MD,U/L,Eaton,
W,2018-04-25 12:01:00,N,1930,C_002,1-502-MD,M/L,Eaton,
W,2018-04-25 12:01:00,N,2943,C_002,1-502-MD,U/L,Eaton,
W,2018-04-25 12:01:00,N,2943,C_002,4-12-EP,U/L,Eaton,
W,2018-04-25 12:01:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-04-25 12:01:00,N,2950,C_002,4-12-EP,U/L,Eaton,
W,2018-04-25 12:44:00,N,1032,C_003,4-23-SR,U/L,Eaton,
W,2018-04-25 12:44:00,N,1022,C_003,4-23-SR,U/L,Eaton,
W,2018-04-25 12:44:00,N,1927,C_003,4-23-SR,M/L,Eaton,
W,2018-04-25 12:44:00,N,1930,C_003,4-23-SR,M/L,Eaton,
W,2018-04-25 14:21:00,N,2942,C_002,4-12-EP,U/L,Eaton,
W,2018-04-25 14:21:00,N,2943,C_002,4-12-EP,U/L,Eaton,
W,2018-04-25 14:21:00,N,2941,C_002,4-12-EP,U/L,Eaton,
W,2018-04-25 14:21:00,N,2944,C_002,4-12-EP,U/L,Eaton,
W,2018-04-25 14:21:00,N,2950,C_002,4-12-EP,U/L,Eaton,
W,2018-04-25 14:37:00,N,2942,C_002,1-502-MD,U/L,Eaton,
W,2018-04-25 14:37:00,N,2943,C_002,1-502-MD,U/L,Eaton,
W,2018-04-25 14:37:00,N,2950,C_002,1-502-MD,U/L,Eaton,
W,2018-04-25 14:37:00,N,2944,C_002,1-502-MD,U/L,Eaton,
W,2018-04-25 14:37:00,N,2941,C_002,1-502-MD,U/L,Eaton,
W,2018-04-27 05:00:00,Y,1002,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1015,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2222,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1064,C_050,15-54-SR,U/C,Bob,
W,2018-04-27 05:00:00,Y,2414,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1022,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2380,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2979,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1919,C_050,15-54-SR,M/L,Bob,
W,2018-04-27 05:00:00,Y,1088,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2067,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1080,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2400,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2398,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2413,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1004,C_050,15-54-SR,U/L,Bob,
W,2018-04-27 05:00:00,Y,2396,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2057,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2394,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2392,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2390,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2920,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,1024,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2959,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,N,1994,C_050,15-54-SR, ,Bob,
W,2018-04-27 05:00:00,Y,2277,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2251,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2626,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2422,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2998,C_050,15-54-SR,U/L,Bob,ND
W,2018-04-27 05:00:00,Y,2248,C_050,15-54-SR,U/L,Bob,ND
